id,first_name,last_name,email,gender,state,support_score
1,Kristi,Hurdle,khurdle0@omniture.com,Female,NY,0.142
2,Eachelle,Bermingham,ebermingham1@cocolog-nifty.com,Female,NV,0.468
3,Drusilla,Waymont,dwaymont2@ucla.edu,Female,DC,0.359
4,Sutherlan,Morrill,smorrill3@latimes.com,Male,GA,0.647
5,Eden,Dawidowicz,edawidowicz4@spiegel.de,Female,GA,0.488
6,Kimbell,Boydon,kboydon5@yellowbook.com,Male,DC,0.74
7,Robers,Collet,rcollet6@delicious.com,Male,MA,0.827
8,Madalena,Chiswell,mchiswell7@webs.com,Female,FL,0.913
9,Noelle,Reichelt,nreichelt8@timesonline.co.uk,Female,UT,0.577
10,Killy,Roblou,kroblou9@t-online.de,Male,DC,0.228
11,Clary,Espada,cespadaa@foxnews.com,Female,KY,0.768
12,Errick,Spellissy,espellissyb@furl.net,Male,OH,0.234
13,Mario,McGiveen,mmcgiveenc@cbsnews.com,Male,DC,0.6
14,Kali,Thorne,kthorned@sciencedaily.com,Female,DC,0.776
15,Darin,Patershall,dpatershalle@miibeian.gov.cn,Male,FL,0.46
16,Selma,Agass,sagassf@geocities.jp,Female,CA,0.171
17,Appolonia,Raise,araiseg@mayoclinic.com,Female,MN,0.351
18,Ring,Kimmings,rkimmingsh@ucla.edu,Male,OK,0.189
19,Adriena,Barck,abarcki@forbes.com,Female,MN,0.959
20,Bond,Bony,bbonyj@unicef.org,Male,NY,0.29
21,Kimmie,Danko,kdankok@huffingtonpost.com,Female,TX,0.409
22,Hobart,Sunshine,hsunshinel@constantcontact.com,Male,FL,0.36
23,Jaime,Tremmel,jtremmelm@soup.io,Female,OH,0.568
24,John,Leyzell,jleyzelln@washingtonpost.com,Male,FL,0.439
25,Ty,Meert,tmeerto@nbcnews.com,Male,PA,0.94
26,Jourdan,Vezey,jvezeyp@51.la,Female,VT,0.676
27,Lorne,Furze,lfurzeq@columbia.edu,Male,VA,0.481
28,Reggis,Twiddle,rtwiddler@networkadvertising.org,Male,NC,0.394
29,Gratia,Champniss,gchampnisss@cbsnews.com,Female,NY,0.124
30,Moises,Ibbitt,mibbittt@topsy.com,Male,AZ,0.212
31,Nata,Wardroper,nwardroperu@chicagotribune.com,Female,TX,0.172
32,Welby,Paiton,wpaitonv@technorati.com,Male,UT,0.139
33,Frank,Biasotti,fbiasottiw@netlog.com,Female,AL,0.909
34,Wolfy,Kinnaird,wkinnairdx@quantcast.com,Male,NV,0.466
35,Barbey,Rainbow,brainbowy@sitemeter.com,Female,CA,0.421
36,Gael,De Cristofalo,gdecristofaloz@constantcontact.com,Male,VA,0.309
37,Isac,Mitcham,imitcham10@hexun.com,Male,IL,0.624
38,Ave,Puddicombe,apuddicombe11@vimeo.com,Male,CA,0.98
39,Eulalie,Burder,eburder12@deviantart.com,Female,IN,0.704
40,Mellisa,Reynoldson,mreynoldson13@g.co,Female,CO,0.022
41,Montgomery,Warratt,mwarratt14@twitpic.com,Male,MD,0.377
42,Othilie,Matiebe,omatiebe15@twitter.com,Female,OH,0.743
43,Kathrine,Terrazzo,kterrazzo16@slideshare.net,Female,IL,0.811
44,Felipe,Coley,fcoley17@cnet.com,Male,CA,0.457
45,Sarena,Beatson,sbeatson18@howstuffworks.com,Female,GA,0.177
46,Garvy,Schruyer,gschruyer19@npr.org,Male,MI,0.614
47,Mal,Jina,mjina1a@mayoclinic.com,Male,IL,0.479
48,Free,Shearn,fshearn1b@hibu.com,Male,HI,0.709
49,Cyrus,Ollenbuttel,collenbuttel1c@angelfire.com,Male,TX,0.367
50,Albina,LeEstut,aleestut1d@sitemeter.com,Female,VA,0.827
51,Wood,Eberlein,weberlein1e@shop-pro.jp,Male,AZ,0.211
52,Stanly,Evered,severed1f@netvibes.com,Male,FL,0.615
53,Brunhilda,Tizzard,btizzard1g@usatoday.com,Female,CA,0.631
54,Ibby,Brockbank,ibrockbank1h@github.com,Female,MN,0.666
55,Franklyn,Ducrow,fducrow1i@techcrunch.com,Male,OH,0.08
56,Agnola,Meininking,ameininking1j@howstuffworks.com,Female,FL,0.865
57,Isidro,Dowse,idowse1k@hubpages.com,Male,DC,0.448
58,Massimo,Heatley,mheatley1l@qq.com,Male,MN,0.626
59,Cris,Harmant,charmant1m@slideshare.net,Male,CT,0.202
60,Monika,Foystone,mfoystone1n@state.gov,Female,TX,0.96
61,Simone,Lydiate,slydiate1o@dedecms.com,Male,TX,0.347
62,Walt,Hills,whills1p@dmoz.org,Male,TX,0.567
63,Mohandas,Dallender,mdallender1q@chron.com,Male,IN,0.615
64,Florie,Rambaut,frambaut1r@amazon.co.uk,Female,DC,0.918
65,Shelden,Huson,shuson1s@sbwire.com,Male,PA,0.799
66,Granny,Eland,geland1t@about.com,Male,MO,0.12
67,Bernadene,Schellig,bschellig1u@engadget.com,Female,IN,0.543
68,Brittany,Rotter,brotter1v@edublogs.org,Female,NY,0.76
69,Shermy,Burmingham,sburmingham1w@jiathis.com,Male,CA,0.127
70,Ruth,Yellowlea,ryellowlea1x@opera.com,Female,TX,0.119
71,Merla,Confait,mconfait1y@blinklist.com,Female,MA,0.053
72,Bobbi,Steckings,bsteckings1z@elegantthemes.com,Female,MN,0.268
73,Cecily,Pearsey,cpearsey20@symantec.com,Female,FL,0.747
74,Zacharie,Dunseath,zdunseath21@mapy.cz,Male,VA,0.867
75,Cristobal,Simison,csimison22@tumblr.com,Male,IL,0.371
76,Romeo,Durrand,rdurrand23@tinypic.com,Male,MA,0.703
77,Opalina,Brockton,obrockton24@thetimes.co.uk,Female,NY,0.233
