id,first_name,last_name,gender,time,location,total_bill,tip,food,Day
1,Ginelle,Potes,Female,Supper,Dragon's Den,30.23,1.73,Cheesy Garlic Bread Meatball Ring,Sunday
2,Genia,Batteson,Female,First Breakfast,Dragon's Den,5.4,6.35,Eggs,Monday
3,Moyna,Gert,Female,First Breakfast,Town,23.28,7.73,Bilbo's Tea Cake,Highday
4,Alvie,Brizland,Male,Dinner,Gladden Fields,30.99,3.16,Cheesy Garlic Bread Meatball Ring,Monday
5,Odo,Schermick,Male,Supper,Gladden Fields,24.15,9.05,Beorn Honey Nut Cake,Sunday
6,Jeno,Boughtwood,Male,Afternoon Tea,Town,1.53,4.72,Cheesy Garlic Bread Meatball Ring,Highday
7,Eddi,Rignoldes,Female,Supper,Town,1.02,5.41,Strawberry and Banana French Toast,Trewsday
8,Phylys,Beevor,Female,Dinner,The Shire,21.95,6.75,Bilbo's Tea Cake,Trewsday
9,Axe,O'Luby,Male,Elevenses,The Shire,26.31,9.62,Po-Tay-To Onion Soup,Sunday
10,Johannah,Fadden,Female,First Breakfast,The Shire,23.52,2.33,Bilbo's Tea Cake,Sterday
11,Ignacio,Crumley,Male,Supper,Dragon's Den,4.65,5.8,Beorn Honey Nut Cake,Monday
12,Cherish,Ledger,Female,Supper,The Shire,20.37,1.39,Po-Tay-To Onion Soup,Trewsday
13,Vickie,Aime,Female,First Breakfast,The Shire,21.32,8.27,Eggs,Sunday
14,Gwyn,Hampshire,Female,Dinner,The Shire,23.56,6.61,Cheesy Garlic Bread Meatball Ring,Mersday
15,Tonya,Opdenorth,Female,Supper,Town,27.95,8.19,Cheesy Garlic Bread Meatball Ring,Mersday
16,Jody,Rodda,Male,Elevenses,Town,18.28,2.9,Cheesy Garlic Bread Meatball Ring,Monday
17,Matteo,Oakman,Male,Afternoon Tea,Gladden Fields,16.55,6.95,Beorn Honey Nut Cake,Hevensday
18,Agosto,Smead,Male,Elevenses,Town,33.51,7.53,Cheesy Garlic Bread Meatball Ring,Mersday
19,Dieter,Goullee,Male,Elevenses,Dragon's Den,15.26,6.11,Bilbo's Tea Cake,Monday
20,Almeria,Kellington,Female,Second Breakfast,The Shire,25.49,9.73,Eggs,Monday
21,Kevina,Gliddon,Female,Elevenses,Gladden Fields,4.93,7.28,Bilbo's Tea Cake,Sunday
22,Bonny,Cowe,Female,Second Breakfast,The Shire,10.91,3.19,Cheesy Garlic Bread Meatball Ring,Sterday
23,Basile,Downs,Male,Elevenses,Dragon's Den,9.34,5.28,Beorn Honey Nut Cake,Mersday
24,Giff,Meach,Male,First Breakfast,Dragon's Den,26.62,7.92,Cheesy Garlic Bread Meatball Ring,Sterday
25,Ree,McElane,Female,Afternoon Tea,Gladden Fields,2.1,9.46,Beorn Honey Nut Cake,Mersday
26,Gill,Peplaw,Male,Dinner,The Shire,28.2,3.58,Eggs,Highday
27,Kristo,Fleischer,Male,Supper,Dragon's Den,17.21,6.61,Cheesy Garlic Bread Meatball Ring,Mersday
28,Andie,Crock,Male,Elevenses,The Shire,31.88,3.99,Beorn Honey Nut Cake,Mersday
29,Rosemarie,Goalby,Female,Afternoon Tea,Dragon's Den,26.5,5.99,Bilbo's Tea Cake,Mersday
30,Ofilia,Sargeaunt,Female,Second Breakfast,Dragon's Den,4.82,2.0,Bilbo's Tea Cake,Mersday
31,Arly,Galvin,Female,First Breakfast,Dragon's Den,2.11,4.77,Bilbo's Tea Cake,Trewsday
32,Lorain,Capozzi,Female,Elevenses,The Shire,11.79,9.6,Eggs,Trewsday
33,Fanni,Gonzales,Female,Second Breakfast,Town,28.57,8.68,Strawberry and Banana French Toast,Sterday
34,Quillan,Doud,Male,Supper,Gladden Fields,13.84,8.64,Beorn Honey Nut Cake,Sunday
35,Worth,Wyburn,Male,Luncheon,Gladden Fields,2.25,2.3,Po-Tay-To Onion Soup,Mersday
36,Dode,Endle,Female,Luncheon,The Shire,6.16,1.69,Cheesy Garlic Bread Meatball Ring,Trewsday
37,Curcio,Blanc,Male,Second Breakfast,Town,23.92,4.46,Beorn Honey Nut Cake,Mersday
38,Gerry,Henrichsen,Male,Luncheon,Dragon's Den,23.43,7.28,Cheesy Garlic Bread Meatball Ring,Hevensday
39,Lina,Scherme,Female,Afternoon Tea,Dragon's Den,22.34,5.46,Eggs,Sunday
40,Kurtis,Scneider,Male,Supper,The Shire,8.33,8.95,Eggs,Sterday
41,Chris,Withams,Female,Dinner,Dragon's Den,3.52,1.3,Eggs,Hevensday
42,Mady,McFadden,Female,Afternoon Tea,The Shire,33.58,3.7,Beorn Honey Nut Cake,Sunday
43,Garrot,Longbottom,Male,Luncheon,The Shire,21.3,2.93,Eggs,Hevensday
44,Sibyl,Peaddie,Male,Afternoon Tea,The Shire,13.95,2.93,Po-Tay-To Onion Soup,Highday
45,Ward,Grant,Male,Luncheon,Dragon's Den,17.77,8.02,Po-Tay-To Onion Soup,Monday
46,Stanly,Gregoletti,Male,Dinner,Town,27.11,2.21,Beorn Honey Nut Cake,Mersday
47,Pascal,Corrin,Male,Supper,Town,10.3,3.83,Bilbo's Tea Cake,Sterday
48,Wyn,Ikins,Male,Luncheon,Dragon's Den,30.48,7.99,Bilbo's Tea Cake,Sunday
49,Alasteir,Harvison,Male,Second Breakfast,The Shire,4.71,8.53,Beorn Honey Nut Cake,Trewsday
50,Juline,Shird,Female,Elevenses,Gladden Fields,18.86,5.11,Eggs,Monday
51,Charlena,Bourhill,Female,First Breakfast,Gladden Fields,22.93,9.91,Beorn Honey Nut Cake,Monday
52,Nat,Le Houx,Male,First Breakfast,Town,7.14,3.25,Strawberry and Banana French Toast,Sunday
53,Antonia,Verdun,Female,First Breakfast,The Shire,29.71,2.55,Beorn Honey Nut Cake,Hevensday
54,Vern,Pilling,Male,Second Breakfast,Dragon's Den,5.64,8.64,Strawberry and Banana French Toast,Monday
55,Emmet,Giorgielli,Male,Supper,Gladden Fields,13.89,6.18,Bilbo's Tea Cake,Hevensday
56,Rowland,Horney,Male,Luncheon,Dragon's Den,27.08,3.11,Strawberry and Banana French Toast,Highday
57,Margot,Jancik,Female,Afternoon Tea,Town,16.56,1.49,Strawberry and Banana French Toast,Sterday
58,Britteny,Bloxsom,Female,Dinner,Gladden Fields,20.5,1.45,Strawberry and Banana French Toast,Sterday
59,Ealasaid,Inkpin,Female,Supper,The Shire,33.95,9.01,Strawberry and Banana French Toast,Hevensday
60,Devina,Westcar,Female,First Breakfast,The Shire,21.93,2.44,Strawberry and Banana French Toast,Highday
61,Gerhardt,Yanyushkin,Male,Luncheon,The Shire,22.88,1.76,Beorn Honey Nut Cake,Trewsday
62,Erhart,Kentwell,Male,First Breakfast,Dragon's Den,26.48,1.29,Bilbo's Tea Cake,Trewsday
63,Krystle,Dally,Female,First Breakfast,Dragon's Den,9.05,3.26,Cheesy Garlic Bread Meatball Ring,Hevensday
64,Oneida,Pilfold,Female,First Breakfast,The Shire,32.79,5.92,Cheesy Garlic Bread Meatball Ring,Hevensday
65,Jule,Canape,Male,Luncheon,Gladden Fields,22.76,9.41,Cheesy Garlic Bread Meatball Ring,Sunday
66,Freddy,Drews,Female,Luncheon,The Shire,6.05,4.27,Eggs,Trewsday
67,Lexi,Buten,Female,Elevenses,Dragon's Den,24.83,6.03,Strawberry and Banana French Toast,Mersday
68,Karlens,Le Friec,Male,Supper,The Shire,23.68,1.2,Beorn Honey Nut Cake,Trewsday
69,Kittie,McElwee,Female,Luncheon,Dragon's Den,18.03,4.0,Po-Tay-To Onion Soup,Sterday
70,Marielle,Search,Female,Supper,The Shire,12.75,6.34,Po-Tay-To Onion Soup,Highday
71,Salem,Gantz,Male,Supper,Gladden Fields,6.66,5.87,Eggs,Trewsday
72,Molly,Hamflett,Female,Second Breakfast,Town,15.96,8.01,Beorn Honey Nut Cake,Sterday
73,Aurilia,Bloxam,Female,Afternoon Tea,The Shire,31.21,6.07,Eggs,Highday
74,Rikki,Knell,Male,Afternoon Tea,Dragon's Den,29.05,9.93,Po-Tay-To Onion Soup,Hevensday
75,Marisa,Thombleson,Female,Supper,Gladden Fields,17.53,3.15,Po-Tay-To Onion Soup,Trewsday
76,Minni,Philipsson,Female,Supper,The Shire,4.66,3.06,Beorn Honey Nut Cake,Highday
77,Niall,Sargood,Male,Supper,Gladden Fields,15.86,9.82,Beorn Honey Nut Cake,Hevensday
78,Kasey,Loveman,Female,Second Breakfast,Dragon's Den,1.23,2.18,Beorn Honey Nut Cake,Trewsday
79,Berke,Brewster,Male,Elevenses,Dragon's Den,33.48,7.76,Po-Tay-To Onion Soup,Mersday
80,Abbie,Gannicott,Female,Supper,The Shire,11.9,1.72,Po-Tay-To Onion Soup,Highday
81,Marcellus,Bramham,Male,Supper,Town,15.98,9.01,Strawberry and Banana French Toast,Sterday
82,Kiley,MacGinlay,Male,Second Breakfast,Town,12.61,8.2,Bilbo's Tea Cake,Highday
83,Kinnie,Arni,Male,Supper,Dragon's Den,7.52,1.37,Strawberry and Banana French Toast,Sunday
84,Bogart,Burrett,Male,Dinner,The Shire,13.26,3.4,Strawberry and Banana French Toast,Mersday
85,Marilyn,Elvidge,Female,Dinner,Gladden Fields,11.56,2.58,Beorn Honey Nut Cake,Sterday
86,Matthew,Dragge,Male,Luncheon,Town,17.96,9.99,Eggs,Mersday
87,Oliviero,Dalla,Male,First Breakfast,Town,12.67,1.57,Po-Tay-To Onion Soup,Sunday
88,Tommy,Vynoll,Male,Elevenses,Gladden Fields,6.43,5.68,Po-Tay-To Onion Soup,Monday
89,Dee dee,Jills,Female,Luncheon,Dragon's Den,33.0,2.63,Eggs,Mersday
90,Hector,Smellie,Male,Second Breakfast,Dragon's Den,12.37,1.71,Bilbo's Tea Cake,Mersday
91,Claudia,Whardley,Female,Elevenses,Town,24.65,6.93,Po-Tay-To Onion Soup,Highday
92,Woody,Averay,Male,Second Breakfast,Town,29.09,3.81,Po-Tay-To Onion Soup,Trewsday
93,Fan,Edgcombe,Female,Dinner,Dragon's Den,10.43,8.21,Strawberry and Banana French Toast,Mersday
94,Sosanna,Doorbar,Female,Afternoon Tea,Dragon's Den,18.67,1.42,Cheesy Garlic Bread Meatball Ring,Sunday
95,Randi,Launchbury,Male,Luncheon,Town,17.7,5.0,Po-Tay-To Onion Soup,Sunday
96,Fabio,Collibear,Male,Supper,Town,15.53,7.63,Beorn Honey Nut Cake,Sterday
97,Barri,Doyle,Male,Afternoon Tea,Gladden Fields,17.21,6.11,Cheesy Garlic Bread Meatball Ring,Highday
98,Wendie,Liger,Female,Elevenses,Town,12.55,7.11,Strawberry and Banana French Toast,Monday
99,Tedra,O'Corren,Female,Afternoon Tea,The Shire,24.56,4.32,Bilbo's Tea Cake,Monday
100,Ronni,St. Ledger,Female,Supper,Gladden Fields,31.92,4.24,Beorn Honey Nut Cake,Trewsday
101,Kiel,O'Fallon,Male,Second Breakfast,Gladden Fields,13.29,6.86,Strawberry and Banana French Toast,Sunday
102,Mabel,Carah,Female,Afternoon Tea,The Shire,32.94,4.48,Eggs,Hevensday
103,Corinne,Lansbury,Female,Supper,Dragon's Den,18.78,7.25,Cheesy Garlic Bread Meatball Ring,Sunday
104,Raimondo,Conlon,Male,Dinner,The Shire,15.67,4.42,Beorn Honey Nut Cake,Monday
105,Maribeth,Tuhy,Female,Luncheon,Dragon's Den,5.53,8.24,Strawberry and Banana French Toast,Trewsday
106,Roxanne,Staveley,Female,Afternoon Tea,Gladden Fields,21.93,9.59,Po-Tay-To Onion Soup,Trewsday
107,Felipe,Bilbey,Male,Afternoon Tea,Dragon's Den,21.36,3.45,Beorn Honey Nut Cake,Monday
108,Laurena,Paulsen,Female,Supper,The Shire,1.34,3.33,Beorn Honey Nut Cake,Highday
109,Nicolais,Tesauro,Male,Afternoon Tea,Gladden Fields,29.54,9.73,Bilbo's Tea Cake,Highday
110,Eryn,Audiss,Female,First Breakfast,Gladden Fields,2.59,1.37,Beorn Honey Nut Cake,Mersday
111,Thane,Demaid,Male,Afternoon Tea,The Shire,10.94,5.32,Eggs,Highday
112,Niki,Grafham,Female,First Breakfast,The Shire,6.21,1.42,Bilbo's Tea Cake,Hevensday
113,Rustie,List,Male,Supper,The Shire,14.72,3.92,Beorn Honey Nut Cake,Sunday
114,Rahel,Kochlin,Female,Second Breakfast,Town,3.98,7.84,Eggs,Highday
115,Kellby,Sevior,Male,Supper,Gladden Fields,28.44,2.36,Beorn Honey Nut Cake,Sunday
116,Gauthier,Olyfant,Male,Second Breakfast,The Shire,14.04,7.92,Po-Tay-To Onion Soup,Sterday
117,Jodie,Swalowe,Female,Second Breakfast,The Shire,28.59,4.44,Po-Tay-To Onion Soup,Monday
118,Washington,Clipson,Male,Dinner,Town,2.5,10.0,Beorn Honey Nut Cake,Mersday
119,Madelena,Mouton,Female,Supper,The Shire,18.06,2.89,Beorn Honey Nut Cake,Monday
120,Rina,Brigstock,Female,Supper,The Shire,1.01,5.85,Eggs,Monday
121,Nate,Kellitt,Male,Afternoon Tea,The Shire,29.71,7.25,Strawberry and Banana French Toast,Mersday
122,Veriee,Cape,Female,Second Breakfast,The Shire,19.48,3.84,Strawberry and Banana French Toast,Monday
